StudyHours,Attendance,QuizAvg,Result
6,68,42.7,0
19,62,93.6,1
14,52,70.8,0
10,39,58.1,0
7,98,62.3,0
20,63,96.3,1
6,81,40.7,0
18,39,71.0,0
22,48,65.4,1
10,87,72.8,1
10,30,31.3,0
23,98,91.0,1
20,33,95.2,1
3,45,69.6,0
7,53,78.8,0
23,31,94.6,1
2,61,79.5,0
21,53,40.7,0
20,41,70.3,0
1,79,72.5,0
23,64,59.7,1
11,62,81.6,0
5,62,95.4,0
1,90,94.8,1
20,80,61.6,1
0,72,37.9,0
11,41,98.9,0
21,96,88.7,1
11,94,38.7,0
24,62,94.5,1
16,69,90.9,1
9,72,66.3,0
15,73,71.4,1
14,58,57.9,0
14,42,33.8,0
18,41,53.5,0
11,75,86.2,1
22,31,30.3,0
19,64,53.3,0
24,37,57.9,0
2,55,67.6,0
4,63,94.4,0
18,36,54.2,0
6,97,54.3,0
20,87,81.6,1
8,58,61.7,0
6,65,45.7,0
17,50,61.7,0
3,65,39.9,0
24,39,42.3,0
13,53,64.9,0
17,93,59.3,1
8,78,94.0,1
20,65,55.4,1
1,53,70.6,0
19,52,74.3,1
14,91,30.9,0
6,66,76.4,0
11,41,42.5,0
7,84,97.3,1
14,42,40.4,0
2,52,59.0,0
13,59,36.0,0
16,46,99.8,1
3,91,65.2,0
17,42,71.7,0
7,88,34.7,0
3,48,82.5,0
1,78,44.7,0
5,41,92.9,0
21,90,44.4,1
9,48,43.3,0
3,38,32.6,0
21,57,63.0,1
17,81,69.5,1
11,45,34.6,0
1,98,84.3,0
9,41,61.7,0
3,54,66.7,0
13,81,60.9,0
15,82,58.1,1
14,52,69.2,0
7,45,40.9,0
13,86,42.7,0
22,68,90.3,1
24,82,96.2,1
7,71,56.1,0
20,87,49.0,1
15,68,75.1,1
12,43,58.6,0
17,34,31.8,0
14,64,40.9,0
20,47,80.1,1
23,38,76.1,1
24,87,31.9,1
12,46,45.5,0
8,36,46.2,0
14,75,77.0,1
12,42,31.4,0
0,69,37.3,0
24,71,86.0,1
6,38,42.5,0
8,79,75.7,0
23,56,46.7,0
0,95,37.0,0
11,34,47.0,0
7,58,80.6,0
23,66,89.9,1
10,67,88.1,1
18,37,57.8,0
16,94,76.8,1
7,46,44.3,0
2,74,50.5,0
2,33,92.7,0
0,65,30.9,0
4,99,36.0,0
9,60,44.6,0
6,48,31.9,0
8,90,42.7,0
6,83,70.8,0
8,68,59.5,0
7,48,92.5,0
11,68,87.2,1
1,96,53.9,0
0,74,48.2,0
15,42,56.6,0
22,87,71.3,1
22,49,48.8,0
23,90,73.7,1
4,68,58.7,0
2,30,68.6,0
11,32,60.5,0
7,91,50.6,0
21,92,96.4,1
2,54,83.5,0
0,85,39.8,0
2,62,90.8,0
4,67,64.1,0
14,35,92.6,0
13,87,86.0,1
2,73,59.8,0
0,74,31.6,0
4,61,48.8,0
22,74,67.9,1
13,90,74.3,1
6,76,48.1,0
8,50,39.8,0
14,65,88.4,1
14,48,98.9,1
9,49,66.8,0
12,86,42.0,0
18,47,49.1,0
6,76,31.3,0
16,78,94.0,1
19,43,38.2,0
3,44,70.4,0
4,60,49.2,0
22,30,68.8,0
6,83,75.6,0
12,32,88.1,0
14,45,44.4,0
10,86,30.8,0
3,41,39.6,0
12,45,93.0,0
6,53,91.2,0
18,57,71.8,1
21,37,72.0,0
1,65,76.6,0
9,37,42.3,0
12,87,94.0,1
24,89,59.3,1
20,79,56.8,1
5,57,66.3,0
11,70,33.3,0
11,93,41.6,0
19,56,81.7,1
10,92,35.8,0
22,46,72.2,1
24,62,47.2,1
6,58,57.3,0
0,42,50.2,0
0,75,54.9,0
24,64,80.3,1
24,35,50.8,0
19,98,69.6,1
12,76,63.3,0
8,54,76.5,0
2,95,95.6,1
6,39,81.3,0
5,85,45.0,0
7,59,32.2,0
8,34,48.4,0
4,62,71.7,0
0,94,33.6,0
18,47,64.7,0
9,78,71.8,0
11,40,53.4,0
23,55,84.0,1
14,92,37.5,0
21,88,35.3,1
23,56,81.0,1
8,78,64.7,0
19,62,78.2,1
16,30,60.4,0
16,50,47.2,0
19,84,87.3,1
11,35,86.0,0
6,98,78.6,1
1,34,49.1,0
2,32,71.3,0
16,82,55.3,1
4,52,36.4,0
16,82,94.2,1
23,66,39.6,0
16,46,96.5,1
16,30,61.2,0
1,80,43.0,0
1,74,67.9,0
21,33,91.1,1
22,91,81.3,1
4,94,86.5,1
0,61,76.1,0
0,63,78.5,0
18,68,89.4,1
1,55,47.5,0
20,63,64.3,1
11,83,45.5,0
5,32,99.1,0
22,79,96.1,1
3,41,32.8,0
22,94,79.4,1
10,83,94.8,1
23,34,42.6,0
16,86,69.8,1
5,46,94.1,0
23,76,32.4,0
4,52,78.8,0
19,43,50.8,0
1,95,94.7,1
5,80,98.0,1
21,67,96.1,1
